"filename", "language", "JavaScript", "JSON", "XML", "CSS", "HTML", "TypeScript", "comment", "blank", "total"
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1943.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1944.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1945.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1946.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1947.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1948.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1949.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1950.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1951.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1952.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1953.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1954.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1955.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1956.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1957.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1958.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1959.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1960.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1961.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1962.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1963.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1964.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1965.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1966.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1967.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1968.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1969.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1970.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1971.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1972.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1973.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1974.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1975.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1976.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1977.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1978.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1979.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1980.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1981.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1982.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kenny/projects/resdynmed/sourcedata/dailysunmoon/1983.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
